Rayness#bees,Platinum 1,48.5,0.89,129.9,PT,10.5,129,80.2,985,9.3,114,752,10.3,381,"11,776",0.8,Reyna,149,267,50.9,1.18,162.4
c0L#1081,Unranked,100.0,2.29,186.3,CA,19.1,222,73.9,857,7.0,81,346,13.1,175,"5,958",0.9,KAY/O,35,65,44.6,1.02,142.7
A L E X#ANIME,Diamond 3,64.5,1.22,171.8,DK,21.0,245,72.4,846,6.7,78,202,22.6,113,"3,864",0.9,Jett,82,146,62.3,1.25,176.6
Ayana#Egirl,Unranked,75.0,1.16,99.9,GB,14.1,184,77.3,1012,8.6,113,36,12.8,19,497,0.7,Sage,12,22,54.5,0.99,126.8
Palmolives#6640,Diamond 2,52.6,1.05,147.6,US,23.2,251,70.0,759,6.8,74,767,18.4,387,"11,360",0.7,Reyna,92,165,56.4,1.20,168.4
kimanier#EUW,Unranked,0.0,0.00,0.0,MU,15.7,229,76.2,1110,8.1,118,63,14.4,23,860,0.7,Raze,12,23,34.8,0.88,141.2
hackerend#booby,Gold 3,53.8,0.93,124.9,IN,13.0,151,73.1,846,13.9,161,908,12.7,447,"12,469",0.7,Chamber,155,263,50.6,1.11,151.8
KC7#BP88,Diamond 1,75.0,1.42,176.8,PH,20.4,178,73.4,641,6.2,54,963,14.0,487,"14,813",0.7,Jett,150,266,52.6,1.01,151.1
wise#1000,Diamond 3,40.0,0.93,154.6,US,18.1,252,74.9,1040,7.0,97,409,15.2,210,"6,309",0.8,Phoenix,100,180,52.8,1.13,168.5
Luminite#Come,Ascendant 2,61.9,0.91,116.0,AU,15.8,172,70.3,763,13.9,151,689,15.9,361,"10,949",0.8,Killjoy,200,354,50.6,1.03,147.4
Sir McGirth#big,Diamond 1,55.0,1.03,132.4,SG,21.2,218,74.8,770,4.1,42,212,18.7,108,"3,272",0.7,Fade,32,55,56.4,0.86,113.0
MyLove#you,Gold 3,51.4,0.73,101.6,SE,32.1,203,61.6,390,6.3,40,499,19.6,247,"6,468",0.6,Viper,85,150,52.0,0.91,129.4
mantoneee#xhek,Diamond 1,50.0,0.94,124.9,RU,22.1,241,74.0,807,3.9,43,34,22.9,20,535,0.7,Fade,6.4,10,70.0,1.11,125.4
Skull Shocker#Solo,Diamond 2,42.9,0.87,123.6,IN,22.3,189,73.0,618,4.7,40,"1,116",18.3,541,"18,767",0.8,Jett,145,250,48.0,1.14,160.4
Scaleny#Dakk,Diamond 1,41.7,0.93,129.6,CA,10.1,130,78.4,1010,11.5,148,"1,128",10.1,570,"14,825",0.6,Viper,255,448,52.5,0.94,127.9
Sora#SO02,Bronze 2,49.5,0.95,127.0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0Y#00002,Silver 2,53.5,1.09,144.9,CA,10.8,161,78.4,1171,10.8,162,113,9.9,49,"1,646",0.7,Omen,30,55,38.2,0.96,142.7
Lepatats#EUW,Silver 1,51.1,1.01,137.6,ES,10.7,134,78.8,987,10.5,131,197,12.7,92,"2,675",0.7,Skye,78,132,47.7,0.89,126.3
kuvi#rina,Diamond 1,40.7,0.84,128.0,US,20.7,213,73.5,756,5.7,59,791,16.6,396,"10,160",0.6,Sage,113,202,46.5,0.65,92.8
brat#CSGO,Immortal 1,56.5,1.19,144.6,DZ,16.5,168,74.5,757,9.0,91,406,19.1,212,"6,887",0.8,Chamber,85,144,49.3,1.18,144.4
Medou#FUNDR,Platinum 2,52.6,0.89,134.7,CA,24.7,235,69.5,662,5.8,55,540,23.5,284,"8,118",0.7,Reyna,97,169,52.7,1.03,153.9
Kajitsulol#Rusty,Platinum 2,53.4,1.15,160.4,NL,18.9,211,69.0,769,12.1,135,821,17.2,411,"13,760",0.8,Jett,391,670,51.2,1.16,159.5
B3ASTM0D3#LANA,Immortal 1,51.2,1.01,143.4,CO,25.2,259,67.9,697,6.8,70,"1,850",21.0,918,"30,622",0.8,Jett,238,418,47.4,1.08,148.1
flyingmyvi#MYVI,Platinum 2,45.9,1.09,162.2,MY,19.5,237,72.7,886,7.8,95,"1,204",17.4,596,"22,980",0.9,Jett,421,754,48.8,1.22,180.1
romelpezzzz#nashe,Ascendant 1,65.8,1.48,183.9,PE,30.0,325,67.6,732,2.4,26,171,22.4,96,"3,570",1.0,Sage,25,44,54.5,1.65,205.8
XarDrax#drax,Silver 1,44.0,0.86,126.9,IN,15.4,177,74.5,856,10.1,116,387,13.0,191,"5,804",0.7,Reyna,48,83,51.8,1.09,164.2
Masala Chicken#1212,Silver 3,53.8,1.14,158.7,IN,17.1,199,77.4,903,5.5,64,493,18.6,241,"8,318",0.8,Jett,47,79,44.3,1.16,163.8
clarify#2369,Bronze 2,100.0,0.84,110.4,US,10.4,151,85.8,1250,3.8,56,17,10.4,10,171,0.5,Killjoy,8.7,16,62.5,0.77,111.8
Aurxllie#bunny,Platinum 1,33.3,1.15,153.9,CA,19.5,225,75.1,868,5.4,63,580,18.5,290,"10,155",0.8,Reyna,77,138,47.8,1.23,165.8
Dysania#AWAKE,Ascendant 1,43.9,1.13,145.7,US,28.5,281,65.7,648,5.9,58,626,24.7,313,"10,203",0.8,Chamber,115,205,50.7,1.19,147.0
Gotakson#0001,Iron 2,45.3,2.52,237.2,SG,78.7,274,20.4,71,0.9,3,613,23.9,271,"8,520",0.8,Jett,87,155,54.8,1.10,156.8
MrCrked#7322,Silver 3,50.0,1.22,158.5,GR,24.5,260,71.3,758,4.2,45,481,16.2,232,"8,121",0.8,Chamber,90,158,52.5,1.28,160.2
PITFALLTV#N01,Diamond 1,49.1,0.95,129.5,BR,16.4,143,75.7,662,7.9,69,"2,885",14.4,"1,404","42,523",0.7,Jett,962,"1,631",48.8,1.01,150.2
Rambo#8704,Bronze 1,39.4,0.82,126.0,US,16.6,178,75.7,813,7.7,83,110,15.1,45,"1,359",0.6,Jett,41,74,43.2,0.77,128.1
ArtudNay#Kat,Silver 1,50.8,1.28,158.3,BR,20.3,240,69.0,816,10.7,126,129,15.1,53,"2,036",0.8,Reyna,66,111,38.7,1.11,145.0
GiraffeJiggler80#9996,Unranked,100.0,2.07,187.6,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daylight pill#4081,Gold 1,51.3,0.80,123.3,ET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vitalis961#2031,Unranked,45.0,0.87,116.4,UA,8.8,119,78.1,1060,13.2,179,253,9.9,128,"2,787",0.6,Brimstone,57,97,56.7,0.82,123.8
Nvoyn3r#6456,Ascendant 3,54.7,1.21,156.3,RU,26.9,274,69.5,708,3.6,37,"1,532",20.6,779,"23,394",0.7,Reyna,240,406,54.2,1.18,159.2
ладно#9529,Gold 2,44.8,1.07,147.1,RU,21.5,244,73.7,836,4.8,54,675,17.3,319,"10,604",0.8,Sova,143,244,44.7,1.06,152.2
SkillfulBubbleT#5294,Bronze 3,60.0,1.17,134.2,US,12.3,165,76.5,1027,11.2,150,41,11.9,22,562,0.7,Chamber,7.2,12,58.3,1.01,126.2
Valentine#vel,Platinum 3,68.6,0.76,104.3,MX,22.2,188,74.0,627,3.8,32,528,20.0,268,"7,138",0.7,Sage,208,354,50.6,0.94,132.6
GBoyHi#NOOB,Bronze 3,59.1,1.27,157.7,CO,11.5,148,76.9,986,11.5,148,147,10.6,67,"2,240",0.7,Raze,53,93,46.2,1.18,159.3
agooo#007,Diamond 3,48.6,1.11,152.6,IT,24.5,267,71.0,774,4.5,49,447,20.8,231,"7,582",0.8,Sage,74,127,58.3,1.18,149.2
Individuo30#6524,Gold 3,48.7,1.00,141.4,VE,16.9,223,76.3,1009,6.9,91,685,14.9,332,"10,212",0.7,Fade,82,138,51.4,1.06,145.2
дед быдла#daddy,Gold 1,56.1,1.11,144.1,RU,18.7,139,75.7,563,5.6,42,315,17.0,163,"4,908",0.8,Chamber,103,175,54.9,1.22,147.9
SwagAngel#whiff,Silver 1,51.1,1.05,148.0,CA,18.7,224,71.6,860,9.7,117,353,13.3,169,"5,224",0.7,Reyna,54,102,52.0,1.09,154.5
Smeedrejat#best,Silver 2,47.1,1.32,163.4,US,23.2,248,70.4,751,6.4,68,134,15.2,64,"2,322",0.9,Reyna,55,95,49.5,1.41,166.9
